statefip,State,Establishments: 1 to 4 employees,Establishments: 5 to 9 employees,Establishments: 10 to 19 employees,Establishments: 20 to 49 employees,Establishments: 50 to 99 employees,Establishments: 100 to 249 employees,Establishments: 250 to 499 employees,Establishments: 500 to 999 employees,"Establishments: 1,000 or more employees",pop,City,Suburb,Rural,White,Black,"American Indian, Eskimo, or Aleut",Asian or Pacific Islander,Other race,In armed forces,"Civilian labor force, employed","Civilian labor force, unemployed",Not in labor force,Less than 9th grade,"9th grade to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate degree,Bachelor's degree,Graduate or professional degree
1,Alabama,45361,18382,11088,7296,2398,1390,372,166,84,4040587,1839966,599583,1601038,2975797,1020705,16506,21797,5782,24980,1741794,128587,1208168,984391,750427,879291,575754,146281,281481,142177
2,Alaska,8618,2931,1782,938,272,172,43,12,5,550043,221883,149352,178808,415492,22451,85698,19728,6674,24991,245379,23587,99437,115048,55199,115419,107444,25525,50809,25981
4,Arizona,46342,17783,10890,7291,2413,1336,267,105,62,3665228,2655997,550976,458255,2963186,110524,203527,55206,332785,25680,1603896,123902,1032252,782152,493922,712607,725084,173871,325610,161560
5,Arkansas,30089,10746,6238,3917,1295,750,227,100,47,2350725,591420,666601,1092704,1944744,373912,12773,12530,6766,10783,994289,72079,722905,599609,417469,573732,323353,62267,143091,67144
6,California,403756,143313,93673,65659,22999,11830,2842,1002,612,29760021,25466131,2105190,2188700,20524327,2208801,242164,2845659,3939070,270089,13996309,996502,7523381,6643367,4146962,5111944,5254155,1650390,3052962,1523767
8,Colorado,55590,19009,10881,7245,2394,1283,267,85,74,3294394,2377820,337697,578877,2905474,133146,27776,59862,168136,38388,1633281,99438,747375,622012,378866,656701,630944,161378,402917,190168
9,Connecticut,50694,18469,11652,7286,2519,1539,421,147,89,3287116,2455697,145851,685568,2859353,274269,6654,50698,96142,15764,1692874,95819,812290,606886,433173,761085,458507,163137,393526,243686
10,Delaware,10006,3804,2434,1569,515,285,85,39,24,666168,458749,27752,179667,535094,112460,2019,9057,7538,5382,335147,13945,164472,125724,98739,167309,97523,30542,64555,33328
11,District Of Columbia,9481,3880,2851,2021,706,419,141,54,34,606900,606900,0,0,179667,399604,1466,11214,14949,6083,303994,23442,169654,105532,102513,107628,90212,14322,78581,71496
12,Florida,203692,72938,41868,26843,9410,5068,904,391,216,12937926,10177624,789704,1970598,10749285,1759534,36335,154302,238470,101870,5810467,356769,4108146,2499498,2096556,3058818,2057552,682296,1133086,567478
13,Georgia,82561,32521,20179,13686,4698,2866,740,285,131,6478216,3260674,836665,2380877,4600148,1746565,13348,75781,42374,73135,3090276,188102,1586868,1509414,1083182,1441697,896364,226718,566488,260325
15,Hawaii,15243,6064,3881,2619,878,467,93,41,27,1108229,747109,239062,122058,369616,27195,5099,685236,21083,54001,529059,19288,253170,230671,122736,257019,181860,65150,117888,50885
16,Idaho,14725,5667,3324,1884,570,249,55,22,17,1006749,278200,300014,428535,950451,3370,13780,9365,29783,5513,443703,29070,251533,234035,137164,212861,182644,50333,77768,31898
17,Illinois,143920,53706,35242,23944,8646,5171,1266,528,315,11430602,8478687,1189865,1762050,8952978,1694273,21836,285311,476204,37285,5417967,385040,2956318,2457206,1620806,2543940,1819579,490961,1101193,552153
18,Indiana,64843,27422,17132,11597,4048,2362,567,207,133,5544159,2692676,905423,1946060,5020700,432092,12720,37617,41030,9532,2628695,160143,1450553,1167920,870523,1534908,776201,212456,360095,224057
19,Iowa,39816,15190,9211,5615,1926,979,236,92,65,2776755,942653,740412,1093690,2683090,48090,7349,25476,12750,2620,1340242,63641,725200,599339,323530,768930,412400,158653,227682,92992
